"","timestamp","open","high","low","close","volume"
"1","2021-03-02",12.04,12.8,11.94,12.55,104788959
"2","2021-03-01",11.87,12.08,11.78,11.98,43172813
"3","2021-02-26",11.89,11.98,11.54,11.7,68707926
"4","2021-02-25",12.22,12.4,11.72,11.76,74495019
"5","2021-02-24",11.67,12.4,11.64,12.27,95152783
"6","2021-02-23",11.59,11.65,11.13,11.62,72904530
"7","2021-02-22",11.52,11.94,11.5,11.7,61488780
"8","2021-02-19",11.52,11.59,11.46,11.58,48615552
"9","2021-02-18",11.37,11.48,11.3,11.43,37777050
"10","2021-02-17",11.61,11.61,11.37,11.48,49446951
"11","2021-02-16",11.5,11.7,11.38,11.54,48392080
"12","2021-02-12",11.42,11.62,11.37,11.45,44401187
"13","2021-02-11",11.66,11.74,11.31,11.45,55762914
"14","2021-02-10",12,12.02,11.53,11.76,75542190
"15","2021-02-09",11.54,12.04,11.49,11.93,101531642
"16","2021-02-08",11.52,11.58,11.31,11.56,75756688
"17","2021-02-05",11.8,11.9,11.3,11.51,113402102
"18","2021-02-04",11.4,11.6192,11.17,11.37,106845045
"19","2021-02-03",10.92,11.36,10.84,11.2,82968550
"20","2021-02-02",11.14,11.2,10.71,10.86,77906802
"21","2021-02-01",10.65,11.44,10.36,10.83,157114400
"22","2021-01-29",10.59,10.835,10.45,10.53,73925821
"23","2021-01-28",10.84,11.05,10.71,10.72,77388655
"24","2021-01-27",11.02,11.17,10.7,10.79,82863034
"25","2021-01-26",11.31,11.53,11.12,11.19,66267456
"26","2021-01-25",11.49,11.52,10.88,11.29,118954503
"27","2021-01-22",11.66,11.69,11.34,11.52,130866617
"28","2021-01-21",11.28,12.15,11.12,11.53,282761553
"29","2021-01-20",10.23,10.87,10.19,10.86,125033167
"30","2021-01-19",10.06,10.21,9.97,10.02,78732758
"31","2021-01-15",10.04,10.05,9.82,9.83,99984954
"32","2021-01-14",9.81,10.2,9.79,10.17,112695252
"33","2021-01-13",9.91,9.92,9.64,9.78,89549250
"34","2021-01-12",9.3,9.82,9.2903,9.78,123938168
"35","2021-01-11",8.87,9.32,8.82,9.3,96129537
"36","2021-01-08",9.1,9.14,8.89,9,59162167
"37","2021-01-07",8.94,9.08,8.88,9.06,77117101
"38","2021-01-06",8.79,8.94,8.68,8.84,72590208
"39","2021-01-05",8.47,8.72,8.46,8.65,70127787
"40","2021-01-04",8.81,8.84,8.43,8.52,85043079
"41","2020-12-31",8.84,8.86,8.78,8.79,40176529
"42","2020-12-30",8.83,8.92,8.81,8.86,38461904
"43","2020-12-29",8.93,8.93,8.78,8.82,37537854
"44","2020-12-28",8.92,8.98,8.8607,8.89,37851532
"45","2020-12-24",9.01,9.02,8.8,8.86,27926995
"46","2020-12-23",8.82,9.03,8.8,8.99,54086667
"47","2020-12-22",8.98,8.99,8.75,8.79,59157726
"48","2020-12-21",8.87,9.01,8.79,8.93,63908127
"49","2020-12-18",9.09,9.09,8.91,8.95,78764619
"50","2020-12-17",9.09,9.13,9,9.08,49301597
"51","2020-12-16",9.17,9.18,8.97,9.04,55274531
"52","2020-12-15",9.03,9.15,8.94,9.15,69665880
"53","2020-12-14",9.13,9.1752,8.88,8.91,76826024
"54","2020-12-11",9.19,9.19,9.01,9.02,73438229
"55","2020-12-10",9.31,9.32,9.1,9.12,83372755
"56","2020-12-09",9.31,9.49,9.29,9.45,60780320
"57","2020-12-08",9.19,9.33,9.17,9.25,56296667
"58","2020-12-07",9.31,9.33,9.15,9.22,58305187
"59","2020-12-04",9.26,9.44,9.24,9.34,48775547
"60","2020-12-03",9.26,9.32,9.15,9.21,50302055
"61","2020-12-02",9.16,9.24,9.08,9.2,48344954
"62","2020-12-01",9.16,9.4,9.16,9.24,68732750
"63","2020-11-30",9.23,9.23,8.98,9.08,77970082
"64","2020-11-27",9.12,9.14,9.03,9.09,27853853
"65","2020-11-25",9.2,9.25,9,9.08,95217812
"66","2020-11-24",9.15,9.5,9.14,9.45,98590440
"67","2020-11-23",8.82,8.98,8.78,8.86,71537109
"68","2020-11-20",8.81,8.82,8.68,8.74,57024269
"69","2020-11-19",8.88,8.88,8.74,8.82,56672693
"70","2020-11-18",8.82,9.05,8.78,8.82,77759269
"71","2020-11-17",8.66,8.85,8.63,8.75,46754509
"72","2020-11-16",8.74,8.85,8.61,8.8,84853863
"73","2020-11-13",8.23,8.57,8.23,8.54,79534153
"74","2020-11-12",8.26,8.29,8.1,8.21,82319824
"75","2020-11-11",8.6,8.6,8.29,8.33,75644426
"76","2020-11-10",8.23,8.59,8.18,8.38,87468359
"77","2020-11-09",8.11,8.38,8.08,8.2,110511311
"78","2020-11-06",8.01,8.02,7.75,7.79,50912118
"79","2020-11-05",7.76,7.99,7.71,7.99,61442609
"80","2020-11-04",7.86,7.87,7.63,7.64,67326839
"81","2020-11-03",7.76,7.93,7.73,7.88,65108842
"82","2020-11-02",7.83,7.86,7.68,7.71,59962912
"83","2020-10-30",7.85,7.91,7.61,7.73,79392475
"84","2020-10-29",8.17,8.24,7.85,7.9,118999898
"85","2020-10-28",7.68,7.88,7.63,7.7,82938283
"86","2020-10-27",8.01,8.09,7.9,7.92,64154483
"87","2020-10-26",8.035,8.07,7.94,8.03,62130950
"88","2020-10-23",8.3,8.35,8.09,8.16,62248980
"89","2020-10-22",7.93,8.22,7.89,8.21,74008467
"90","2020-10-21",7.77,7.88,7.73,7.85,51981072
"91","2020-10-20",7.62,7.85,7.58,7.74,63447005
"92","2020-10-19",7.68,7.72,7.57,7.59,38960741
"93","2020-10-16",7.71,7.75,7.61,7.67,47509411
"94","2020-10-15",7.42,7.62,7.37,7.62,49336159
"95","2020-10-14",7.73,7.75,7.55,7.57,57808898
"96","2020-10-13",7.82,7.88,7.63,7.76,74562568
"97","2020-10-12",7.36,7.865,7.33,7.67,97692932
"98","2020-10-09",7.36,7.44,7.23,7.25,50977882
"99","2020-10-08",7.29,7.35,7.2,7.35,54513310
"100","2020-10-07",7.11,7.25,7.06,7.23,50664144
"101","2020-10-06",7.06,7.25,6.96,6.98,78203805
"102","2020-10-05",6.95,7.05,6.945,7.02,42359406
"103","2020-10-02",6.62,6.93,6.6,6.89,60798406
"104","2020-10-01",6.71,6.77,6.63,6.75,58340607
"105","2020-09-30",6.61,6.75,6.59,6.66,55944608
"106","2020-09-29",6.69,6.695,6.54,6.6,39014263
"107","2020-09-28",6.59,6.77,6.58,6.69,47582634
"108","2020-09-25",6.61,6.7064,6.5,6.51,53761843
"109","2020-09-24",6.6,6.76,6.41,6.66,59822911
"110","2020-09-23",6.81,6.93,6.63,6.64,52588559
"111","2020-09-22",6.89,6.99,6.77,6.78,55865537
"112","2020-09-21",7.09,7.09,6.81,6.87,72850263
"113","2020-09-18",7.31,7.4,7.22,7.23,71929396
"114","2020-09-17",7.04,7.34,6.98,7.28,84850147
"115","2020-09-16",7.05,7.12,6.99,7.02,46269822
"116","2020-09-15",7.16,7.18,7,7.04,65198498
"117","2020-09-14",7.01,7.18,6.98,7.12,58704316
"118","2020-09-11",6.94,7,6.85,7,55080562
"119","2020-09-10",6.99,7.035,6.87,6.91,69228601
"120","2020-09-09",7.07,7.1,6.93,6.97,56501430
"121","2020-09-08",6.83,7.17,6.81,7.03,84749275
"122","2020-09-04",6.86,6.95,6.75,6.9,70017540
